day,equity
2026-09-01,102062.98
2026-09-02,102414.65
2026-09-03,103129.38
2026-09-04,102437.96
2026-09-07,102295.5
2026-09-08,101798.61
2026-09-09,101520.82
2026-09-10,101300.79
