symbol,entry_price,shares,stop,target,opened_date,pending_sell_order_id,pending_sell_order_covers
SPY,770.15,65.0,754.75,793.25,2026-08-19,,
AAPL,337.32,30.448,331.67,348.59,2026-09-24,,
