symbol,issue_number,side,qty,price_at_proposal,stop_price,target_price,tier,proposed_date
AAPL,29,buy,31.056,333.96,327.28,343.98,2,2026-09-21
SERV,32,buy,1128.5543,4.37,4.28,4.5,3,2026-09-21
