timestamp,equity
2026-08-17T09:39:55.476224-04:00,100000.0
2026-08-17T10:05:37.021024-04:00,99950.59
2026-08-17T10:45:22.677425-04:00,99878.87
2026-08-17T11:11:01.889445-04:00,99885.39
2026-08-17T11:42:53.094772-04:00,99718.32
2026-08-17T12:00:38.946929-04:00,99649.04
2026-08-17T12:46:15.271092-04:00,99737.06
2026-08-17T13:27:41.357480-04:00,99807.15
2026-08-17T13:57:02.800564-04:00,99826.71
2026-08-17T14:47:50.682347-04:00,100060.62
2026-08-17T15:29:00.933761-04:00,100125.82
2026-08-17T15:53:52.593493-04:00,100017.42
2026-08-18T09:43:00.716126-04:00,100219.53
2026-08-18T10:17:57.798310-04:00,100701.34
2026-08-18T11:02:14.815077-04:00,100805.52
2026-08-18T11:47:02.932472-04:00,100754.17
2026-08-18T12:32:56.088919-04:00,100858.49
2026-08-18T13:05:16.695246-04:00,100882.13
2026-08-18T13:44:05.990967-04:00,100768.84
2026-08-18T14:13:36.039740-04:00,100851.97
2026-08-18T15:00:09.837949-04:00,100829.15
2026-08-18T15:34:55.113516-04:00,100746.02
2026-08-18T15:58:09.106773-04:00,100792.48
2026-08-19T09:45:17.009005-04:00,101058.18
2026-08-19T10:19:10.984350-04:00,101994.72
2026-08-19T11:02:46.715306-04:00,102128.94
2026-08-19T11:47:01.109104-04:00,102037.94
2026-08-19T12:33:05.456953-04:00,102029.49
2026-08-19T13:03:42.401776-04:00,101775.19
2026-08-19T13:41:19.742605-04:00,101823.97
2026-08-19T14:00:38.404278-04:00,101789.77
2026-08-19T14:54:12.852141-04:00,101750.27
2026-08-19T15:26:33.114469-04:00,102011.61
2026-08-19T15:51:15.182334-04:00,101794.44
2026-08-20T09:48:36.202998-04:00,102098.32
2026-08-20T10:37:17.289264-04:00,101771.57
2026-08-20T11:16:40.825570-04:00,101727.57
2026-08-20T11:59:50.440273-04:00,101809.13
2026-08-20T12:45:36.339304-04:00,101900.27
2026-08-20T13:30:16.738281-04:00,101699.68
2026-08-20T13:59:33.635028-04:00,101639.39
2026-08-20T14:53:14.389401-04:00,101421.78
2026-08-20T15:32:52.184411-04:00,101036.47
2026-08-21T09:46:51.498418-04:00,100292.49
2026-08-21T10:36:32.735705-04:00,100222.09
2026-08-21T11:14:54.741265-04:00,100312.76
2026-08-21T11:51:49.292121-04:00,100431.71
2026-08-21T12:36:14.129908-04:00,100341.36
2026-08-21T13:11:26.183992-04:00,100343.96
2026-08-21T13:47:01.250469-04:00,100314.71
2026-08-21T14:37:55.292176-04:00,100283.84
2026-08-21T15:14:59.419495-04:00,100333.24
2026-08-21T15:41:57.484231-04:00,100337.46
2026-08-21T15:59:48.081576-04:00,100295.21
2026-08-24T09:52:44.610156-04:00,100121.23
2026-08-24T10:43:18.967088-04:00,100183.63
2026-08-24T11:24:12.775002-04:00,100126.11
2026-08-24T12:05:04.207078-04:00,100253.63
2026-08-24T12:56:11.624116-04:00,100390.46
2026-08-24T13:33:54.969018-04:00,100179.92
2026-08-24T14:04:54.263247-04:00,100160.68
2026-08-24T14:59:58.366465-04:00,100148.33
2026-08-24T15:37:34.375933-04:00,100050.28
2026-08-25T09:51:44.073603-04:00,100148.97
2026-08-25T10:46:53.580171-04:00,99897.32
2026-08-25T11:42:57.737354-04:00,99895.92
2026-08-25T12:19:38.913107-04:00,99925.87
2026-08-25T13:05:56.574460-04:00,99944.85
2026-08-25T13:45:58.534851-04:00,99923.97
2026-08-25T14:41:04.319572-04:00,99852.07
2026-08-25T15:18:23.982471-04:00,99804.07
2026-08-25T15:56:12.036688-04:00,100054.12
2026-08-26T09:56:02.819110-04:00,100398.97
2026-08-26T10:48:02.275483-04:00,100329.87
2026-08-26T12:18:33.579921-04:00,100509.62
2026-08-26T14:16:11.713471-04:00,100457.62
2026-08-31T13:26:03.864922-04:00,100642.67
